City,Lat,Lon,Max_temp,Humidity,Cloudiness,Winds,Country,Date
Agirish,61.92,63.02,266.87,98,37,2.36,RU,1607394938
Shimoda,34.67,138.95,289.15,59,75,4.6,JP,1607394938
Busselton,-33.65,115.33,301.0,30,0,1.66,AU,1607394830
Bintulu,3.17,113.03,301.15,88,40,2.1,MY,1607394863
Atuona,-9.8,-139.03,299.14,72,1,7.4,PF,1607394938
Poya,-21.35,165.15,305.22,48,32,1.26,NC,1607394938
Vanimo,-2.67,141.3,303.25,66,100,2.45,PG,1607394939
Fairbanks,64.84,-147.72,257.15,84,75,1.0,US,1607394668
Klaksvík,62.23,-6.59,276.15,74,100,4.6,FO,1607394939
Dikson,73.51,80.55,251.39,93,85,1.14,RU,1607394939
Bandarbeyla,9.49,50.81,296.66,76,43,6.68,SO,1607394771
Greenfield,42.96,-88.01,275.15,74,90,2.1,US,1607394931
Changli,39.7,119.15,272.59,63,0,2.9,CN,1607394939
Ushuaia,-54.8,-68.3,280.15,93,90,7.2,AR,1607394714
Tiksi,71.69,128.87,244.07,88,94,0.33,RU,1607394939
Buala,-8.14,159.59,302.13,74,100,1.5,SB,1607394939
Sawākin,19.11,37.33,296.68,60,0,4.67,SD,1607394939
Moranbah,-22.0,148.05,305.68,37,84,4.09,AU,1607394939
Thornbury,52.23,-2.55,276.48,98,81,0.45,GB,1607394939
Akdepe,42.06,59.38,259.15,77,0,2.1,TM,1607394940
Rawlins,41.79,-107.24,271.15,42,1,1.5,US,1607394660
Andros Town,24.7,-77.77,297.15,73,40,7.2,BS,1607394678
San Jose de Guanipa,8.89,-64.17,297.5,77,96,4.55,VE,1607394940
Kavieng,-2.57,150.8,303.07,65,100,3.07,PG,1607394940
Mikkeli,61.69,27.27,269.82,88,5,1.79,FI,1607394940
Mataura,-46.19,168.86,289.82,68,40,9.39,NZ,1607394940
Bredasdorp,-34.53,20.04,291.15,93,68,2.6,ZA,1607394940
Hobart,-42.88,147.33,290.15,39,75,9.3,AU,1607394828
Rikitea,-23.12,-134.97,297.38,80,4,5.93,PF,1607394940
Hilo,19.73,-155.09,299.15,65,90,6.2,US,1607394743
Hasaki,35.73,140.83,288.15,62,20,3.1,JP,1607394940
Namatanai,-3.67,152.43,303.33,63,68,2.69,PG,1607394940
Provideniya,64.38,-173.3,263.15,66,0,2.0,RU,1607394941
Yellowknife,62.46,-114.35,260.37,84,20,3.1,CA,1607394941
Khatanga,71.97,102.5,249.77,90,100,3.13,RU,1607394941
Salinas,36.68,-121.66,291.15,27,1,1.5,US,1607394686
Cayenne,4.93,-52.33,298.15,100,40,1.5,GF,1607394941
Puerto Ayora,-0.74,-90.35,296.48,91,56,3.58,EC,1607394941
Asău,46.43,26.4,269.82,22,100,1.07,RO,1607394941
Santa Catalina,9.33,122.86,302.15,79,40,4.1,PH,1607394941
Morant Bay,17.88,-76.41,300.15,78,40,1.5,JM,1607394941
Albany,42.6,-73.97,271.48,61,88,0.89,US,1607394916
Yokadouma,3.52,15.05,294.05,62,1,0.78,CM,1607394941
Ancud,-41.87,-73.82,285.93,100,90,5.7,CL,1607394941
Novikovo,51.15,37.89,265.33,87,0,5.38,RU,1607394942
Laas,46.62,10.7,274.82,96,96,2.17,IT,1607394942
Tracy,37.74,-121.43,291.15,25,1,3.1,US,1607394747
Praia,14.92,-23.51,296.15,69,40,6.2,CV,1607394942
Saldanha,-33.01,17.94,288.15,93,48,3.6,ZA,1607394942
Vaini,-21.2,-175.2,302.15,74,20,4.6,TO,1607394942
Matara,5.95,80.54,300.76,75,6,2.23,LK,1607394942
Bengkulu,-3.8,102.27,302.15,64,87,2.26,ID,1607394777
Micheweni,-4.97,39.83,300.14,76,74,2.1,TZ,1607394942
Pitimbu,-7.47,-34.81,296.15,94,20,1.5,BR,1607394942
Faya,18.39,42.45,283.15,70,0,0.49,SA,1607394943
Jamestown,42.1,-79.24,272.04,74,90,5.1,US,1607394904
Statesboro,32.45,-81.78,283.15,65,75,4.1,US,1607394881
Bonthe,7.53,-12.51,298.75,83,0,1.28,SL,1607394943
Lompoc,34.64,-120.46,295.15,14,1,3.1,US,1607394907
Imola,44.35,11.72,277.59,92,100,3.13,IT,1607394943
Broome,42.25,-75.83,270.37,85,90,6.2,US,1607394943
Esperance,-33.87,121.9,298.15,36,0,4.6,AU,1607394943
Zirándaro de los Chávez,18.45,-100.98,299.25,45,52,1.18,MX,1607394943
Faanui,-16.48,-151.75,299.92,77,90,4.8,PF,1607394943
Tsimmerbude,54.67,20.13,271.15,74,40,8.0,RU,1607394943
Ahipara,-35.17,173.17,296.05,66,2,5.47,NZ,1607394943
Cape Town,-33.93,18.42,291.15,93,75,4.6,ZA,1607394941
Tuktoyaktuk,69.45,-133.04,257.15,84,90,3.6,CA,1607394943
Tessalit,20.2,1.01,290.16,32,0,3.86,ML,1607394944
Isangel,-19.55,169.27,302.15,83,75,2.6,VU,1607394944
Vila,42.03,-8.16,279.26,91,97,2.68,PT,1607394944
Hastings,50.86,0.57,277.15,93,93,1.5,GB,1607394809
Thaba-Tseka,-29.52,28.61,283.15,81,0,1.05,LS,1607394944
Guangyuan,32.44,105.82,274.26,99,96,1.69,CN,1607394944
Launceston,-41.45,147.17,292.04,44,90,3.6,AU,1607394664
Hithadhoo,-0.6,73.08,301.05,77,85,5.57,MV,1607394652
Upernavik,72.79,-56.15,265.89,96,100,3.15,GL,1607394944
Barrow,71.29,-156.79,256.15,77,90,4.1,US,1607394944
Lebu,-37.62,-73.65,284.39,90,76,2.27,CL,1607394944
New Norfolk,-42.78,147.06,288.71,64,100,2.68,AU,1607394945
Punta Arenas,-53.15,-70.92,285.15,81,100,4.1,CL,1607394945
Kapaa,22.08,-159.32,300.15,74,75,6.2,US,1607394893
Port Alfred,-33.59,26.89,293.5,85,2,5.49,ZA,1607394945
Mar del Plata,-38.0,-57.56,290.93,77,0,4.1,AR,1607394945
Kaitangata,-46.28,169.85,292.04,64,39,3.58,NZ,1607394945
Chadiza,-14.07,32.44,292.8,94,100,3.4,ZM,1607394945
São João da Barra,-21.64,-41.05,297.28,87,100,9.79,BR,1607394945
Ribeira Grande,38.52,-28.7,288.68,69,85,4.62,PT,1607394945
The Pas,53.83,-101.25,275.15,69,75,4.1,CA,1607394945
Walvis Bay,-22.96,14.51,289.26,88,0,2.7,NA,1607394945
Carnarvon,-24.87,113.63,301.15,65,0,4.6,AU,1607394945
Auki,-8.77,160.7,301.84,77,99,0.96,SB,1607394946
Port Elizabeth,-33.92,25.57,292.15,93,90,1.0,ZA,1607394946
Haines Junction,60.75,-137.51,274.15,80,45,3.6,CA,1607394946
